symbol, date, time, open, high, low, close, volumn, 
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-08-04,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-08-03,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-08-02,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-08-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-07-31,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-07-28,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-07-27,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-07-26,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-07-25,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-07-24,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-07-21,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-07-20,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-07-19,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-07-18,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-07-17,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-07-14,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-07-13,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-07-12,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-07-11,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-07-10,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-07-07,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-07-06,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-07-05,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-07-04,00:00:00,2.40,2.40,2.40,2.40,0
CRON,2010-10-10,00:02:14,2.50,2.50,2.50,2.50,0
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-07-03,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-06-30,00:00:00,2.25,2.25,2.25,2.25,0
CRON,2010-10-10,00:02:14,2.50,2.50,2.50,2.50,0
CRON,2017-01-01,00:00:00,2.52,2.75,2.50,2.75,0
CRON,2017-06-29,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-06-28,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,2.50,2.50,2.50,2.50,0
CRON,2017-01-01,00:00:00,2.94,2.94,2.50,2.50,0
CRON,2017-06-27,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,2.94,2.94,2.94,2.94,0
CRON,2017-06-26,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,2.50,2.50,2.50,2.50,0
CRON,2017-06-23,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,2.94,2.94,2.94,2.94,0
CRON,2017-06-22,00:00:00,2.50,2.50,2.50,2.50,0
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-06-21,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,100.00,100.00,100.00,100.00,10000
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2017-06-20,00:00:00,100.00,100.00,100.00,100.00,10000
CRON,2010-10-10,00:02:14,2.50,2.50,2.50,2.50,0
CRON,2017-01-01,00:00:00,100.00,100.00,100.00,100.00,10000
